complaints_text_massachusetts,complaints_text_arizona
"Had Comcast. Overall the terrible experience everyone else is describing but there was no other provider in my area at the time, so we just dealt with it. Ultimately moved out of my apartment to an area that was serviced by other providers, so I called to cancel my account. Took forever, but finally get through, and take my hardware back to the store. KEEP YOUR RECEIPT. Had to deal with a debt collector for 9 months claiming I owed money for not returning the hardware. Luckily I had physical proof. I honestly would have just paid the $60 or whatever it was if I wasn't sure they'd just keep calling. Would deny liability, it would get kicked to a different debt collection agency, someone new would call me a few months later. FINALLY went away, but I will never use Comcast again. The best part is that when I'd call for customer service, they would ""accidentally"" disconnect my call. HINT: If you want to cancel services or complain, choose the option on the customer service menu for ""add more services."" They'll connect you to an agent immediately and you can ultimately get them to connect you to the right department directly. They'll probably still disconnect you a few times though.","First off, I've been without internet for a week and on demand for a week as well. So I call the second day after nothing worked the first day to schedule a visit and the automated system kept saying that there was an outage in my area and it'll be resolved by 12:36. So I call later that afternoon and tell them and they try to send signals to the modem or whatever and it wouldn't work. So we scheduled a visit for that Friday between 10-12. Mind you that the first option they gave me was for the following freaking Monday and I said HECK NO that is way too long, I have a business to run.So the guy came on Friday at 1:30 NOT between 10-12 because I saw him pull up, he sat there for like 20 minutes and when I looked again he was freaking gone! So now I'm a little hot, so I call and ask what the heck is going on and why'd he just leave and the lady said, ""Well there's another outage in your area and he wouldn't have been able to do anything but he should have at least came to your door and told you but he didn't"". So later we rescheduled another appointment for Sunday between 3-4 and confirmed it.So I don't go to church. I'm here waiting on them to come and it's 4 and all call like, ""Where are you guys?"" And this lady on the phone tells me that it has been rescheduled for freaking Tuesday! I'm like WTF! Seriously! How the heck can you just do that?!! She said that after further checking for like 10 mins that the local office called to reschedule but no one picked up so we couldn't confirm. I was like, ""But you just said it's scheduled for Tuesday so how the heck did you confirm that if no one picked up?"" They didn't call by the way. So you just don't come?? You cancel it on your own and don't freaking show up?!! She said ""yes ma'am that's correct..."" So I'm pissed by now and then she says that someone will call me back by 6 with a rescheduled... No one has called!!! This isn't the first time something like this has happened... But I can guarantee it'll be the last... I'M GOING WITH DIRECT!!! ✌"
"I was experiencing some technical difficulties with my on demand service in June. Technical support solution to this problem was to reset my box. After a couple of attempts they seemed to have the system up and running. The support rep asked me if I was able to access any movies. I said yes. He said ""you're all set"". This problem happened again in July. They redid the whole previous process again. Again telling me it's all set. In August my fiance called regarding an entirely different issue, went to automated system, told him his account balance was almost $500.00. We thought that had to be a mistake. After speaking with the billing dept we found out there was over 100 on-demand movies ordered in 1 month. I was really confused due to I had a lock on the service & a code would be needed to make any purchase. I did not give anyone this code. Apparently, when tech support reset my boxes it wiped out all of my parental settings. So, my 5 yr old son was able to order anything he wanted to watch. A little over 100 movies and episodes. I made 5 phone calls about this issue in the following 2 days. Comcast/Xfinity refused to remove the charges saying the movies and episodes were watched. The supervisor I requested to speak to never called me back. Finally I spoke to a rep that reviewed the account and got a supposed supervisor to approve a credit to my account due to our history not showing these sort of purchases before or any incidences like this. She went on to say she would need to split the credit into 2 due it exceeding her credit applying limit. She thanked me for being a loyal customer and we hung up. Well, after making a payment earlier this week I come home to find my service interrupted. It was too late to speak to anyone at 9:30 pm so I called the following afternoon. Only to find out after we hung up after that call in August, there was a so called review which lead to someone determining the credits would not to applied to my account due to the movies and episodes were all watch. Even though their technical support wiped out my parental settings and told me I was all set. I am so dissatisfied with this whole experience I am returning my equipment. I will never be a Comcast/Xfinity customer ever again.","So, after having gone over Comcast's measly 300Gb data cap for a full year, I call up to cancel. I'm transferred to customer retention, where I explain my problem. Which is: I signed up for unlimited Internet. You changed the unlimited to limited because you don't like people streaming Netflix or downloading video games or you know, any of the 1000s of reasons people have for using the Internet. This wonderful customer retention specialist tells me he can give me a 500gb data cap and free HBO for a year. Wow. And just the month before I called to see about getting a higher package but was told that 300gb is the highest limit for residential customers. Whatever. Maybe they changed their mind. I took it. First month after that, no problems. Second month, my bill comes in and sure enough, I'm being charged for data overages. Called up Comcast again. 45 minute wait time. Just to be told that I was never signed up for any 500gb data cap plan, that the month where I wasn't charged for overages was a month where they had given me a ""pass""...one of three months allotted for customers who go over their data allotment. I've been going over my data plan for two years straight. I used those three months up the first three months they began instituting data caps. Liars. That's all these people do. Say something to get you off the phone and let someone else deal with you later. From now on, I'll record every call I have with these thieving liars and I urge everyone else to do the same. And when you catch them, post it where people can see."
"Consistently, with the last couple of weeks (at least), I have had slow web page loading, download and upload speed, and poor reliability of packet/datagram transmission. I feel that they intentionally misrepresent their operational products and should be held accountable. Their patronizing customer service is apparently part of their policy to placate to cover for poor performance.","After 8 years I was very disappointed with my recent experience with Comcast/Xfinity. I contacted the company about transferring my service because the Commercial assured me that they could make moving easy. To me this was really false advertisement. Despite contacting xfinity in advance, I received two different appointments, which required me to be present both days and when day 1 arrived No one showed up or even gave courtesy of calling. On day 2 service personnel was an hour late and when he arrived he told me he needed additional help and would not be available for another week. No one took me serious. It's almost like the company treated me as if I wasn't big enough for them to show concern."
"Been dealing with a nightmare at Comcast for at least 3 years now. I pay $90 a month for high-speed internet and receive half the speed I pay for. I have to keep calling there for them to turn my internet speed up. Then my service works good for a few days and it's right back down again. I've been through modems, wireless internet boxes, and still nothing but problems. They are no doubt in my mind throttling back on internet service.",This is one company you do not want to deal with. We got Comcast the middle of July and the first bill came in around the first of August for 200$.That's with no extra charges. There is not one person that I talked to that has not lied to me. Since July I've had my cable shut off twice after agreeing to pay them 103$ on August 31. They were the one that told me to pay that amount not me. Every time I talk to someone they tell me something different. I've asked them to listen to our conversations but they won't. This company has put me through so much crap. It's unbelievable. Like I said there has not been one person that works for Comcast that has not lied to me. If you're looking for a honest and reputable company then Comcast is not the one. Comcast is the most crooked company I have ever met.
I signed up for a one day pass with XFINITY when I was back in Boston. The password wasn't working even after resetting it so I called the number on the email. The customer service person forwarded me to the technical support person who then forwarded me to the Wi-Fi department who then forwarded me to someone that suggested that I call the number that I first called!!! After complaining that I was being sent in circles one guy tried to help by calling the initial number. Never got this resolved. I DO NOT suggest using their one day service. Find another carrier.,"Okay, I had this technician come out about 2 weeks ago to hook up my Xfinity voice and internet service. He goes out back and sees my small garden blocking the area he had to work. So instead of avoiding my plants, this fool pulls up my wooden border and tosses it in the yard. He also stomped on all my plants like they weren't there. The wooden border is heavy with about 3 or 4 large nails sticking out. The thing was in my yard with the nails up... Anyone could have come through and stepped on it or tripped on the log. My son is the one who found it and informed me after he had left.Also, before he finished work at my house and before my son discovered the mess made outside, he left and said he had to go elsewhere to finish another job then come back to my house. He left and came back 45 minutes later then had the nerve to sit on my couch for 10-15 minutes saying he had to wait until a certain time to ""clock in"". WTF? So, you're gonna sit in my house watching TV until it's time to work? Really? I called Comcast and filed a complaint. I was told I would hear something after Memorial Day. I still haven't and I don't think I will because they just don't give a damn. But they had my bill posted to the account 2 days later."
"If you're ever planning on getting Comcast internet provider, don't. Because they will cheat you on the pricing for packages that are expensively horrible. They make false advertisements of claiming to be the fastest internet provider. They're not. Imagine paying $60 a month for average internet to work on things, but it seems like your internet fluctuate like crazy and it is as slow as a 1 GB phone internet service. And going to customer support? Calling doesn't work because you'll call them and they'll tell you the same darn thing every time as a solution for your internet -- ""Restart your modem."" No, it doesn't work. And then you try to negotiate with them on other possibilities to fix this issue, yet all they do is curve you into other directions trying to show you more packages and making you pay even more for even more horrible services. Like are you going to help me or not? Or are you just going to curve me and distract me and cheat me and make me pay more than what I request? Comcast takes a step even further in creating XFINITY WiFi from your modem without your consent. At the start of set-up, they create the internet leaving it open. By doing that people can use your internet without paying a single bill, while you're here paying heavy loads. And honestly if you're new to tech well let me just explain to you just how false marketing this company and just how bullshit this company is. First off your modem, or your internet box. The insides are made in the 90s. They're not modern stuff. They just put the 90s insides in a new plastic case and say they're state of the art modems. They do this so they pay less on providing these internet boxes and it doesn't even work well either way, and the fact that they make you pay for renting their modem too, is just full of bull crap. Like calling them wouldn't help. They even go as far in disrespect as hanging up the call on you midway without even answering your questions. This company can't provide internet for life, yet they still falsely advertise about it. I suggest looking for a different internet service other than Comcast. Its better to save lots of money and have a good internet standing, than paying a whole lot and getting internet slow as a sloth.","Comcast has NO CUSTOMER SERVICE. They are trained people who read what is required. Their system requires you to be on the phone handed off several times until you get to a person who makes promises of a package that is never delivered. Most of the people I believe aren't US Citizens because of their accents. There is a language barrier, a lack of respect. They will interrupt and have a rude undertone while reading ""polite"" scripted words that are untrue to their demeanor. It's obvious that they don't care and hand you off a million times, hoping you get frustrated and hang up. They lie to meet quota and I only hope that my area will have more cable options in the future."
"They promise 100 m download for their blast service. My computer NEVER got over 72 and during peak hours it dwindled down to 15 m on the speed test. They had 101 excuses for this including blaming my laptop. No credit given for service I was not getting. They do a transfer of service and move my billing cycle 2 weeks earlier. This caused a $100.00 discrepancy in my normal monthly bill. Tried to explain what happened but they cannot do simple math and justified my bill as accurate even though I was getting ripped off for 2 weeks of service for them changing the billing cycle and them charging a month in advance. FIOS is not in my area but wish it was. My mother has FIOS and it is 100X better than Comcast with 100X better customer service. Don't be another Comcast victim, get FIOS if all possible.",Our Comcast services have been out since Friday and the rep said she scheduled an appointment for a tech to come out this morning between 10-12. I got the automated call at 9:50 to confirm appt and two minutes later I get a call saying the appointment was completed but no tech has even came yet. Have been sitting in my living room for hours waiting and no one has knocked on my door. When I call to report this I get run around and told they would reschedule because they have no one available. I take online college courses and I have assignments due before midnight Sunday. Now my grades are going to drop due to inefficient workers at Comcast. Thanks for allowing me to pay for no services and my future failing grades Comcast!!
"I have been calling Comcast out to my house for almost a year now. They have been out over 6 times. I was told to upgrade for the 50 Mbps and lucky at some points getting about 10. Now since last time a month ago they replaced the modem again and now only getting to 2 Mbps. Now they said I have been paying for 50 Mbps but not having the codes setup for it. Working with them to get fix again and trying to get some sort of credit. Each time I ask for a credit it's amazing how in the peak of the day when I call their sales system is down. But, when call them back to ask to add a package to my account that is working...","My problems have existed from the 1st month I signed up for Comcast internet, phone and cable TV service. I have gone weeks at time without all these services, I have to drive to a local retailer to report outages usually. The reps on the other end are reading from a script and fail to sense my urgency, because they won't take down my info before the internet goes down time and time again. The phone system is terrible, I usually get popping and crackling on the line, or when I answer the phone I can't hear the people I called, but they can hear me. I have had technicians out here every week some months and multiple times in a week as well. I was treated rudely by a customer support staff person in your local office when identifying the problems and being told nothing was wrong.I went to the state attorney general’s office to register a complaint this past year and it did garner some response from your company. I will be following up with them again. I cannot make phone calls or receive phone calls. What am I paying for. I have been a customer for over 10 years and the problems have only multiplied. For such a large corporate entity you have serious service issues. I bought new phones at the suggestion of a customer rep, but your technicians checked my phones out and said my equipment is not the problem. More wasted money. I appreciate your attention to this matter."
"I pay $50 a month for the ""economy"" internet service which is supposed to give me 1.5-3 Mbps but my family can't even watch a streaming video on Roku at night because the service is so slow. All it does is keep loading. Small businesses run entire offices off of 1.5-3 Mbps of Internet service, why can't a small family of 3 run the usual technology devices? I call Comcast every few weeks to get assistance with my issue. I spend an hour on the phone and nothing gets resolved. They reset my modem and try to seek me faster internet service which is 50% more than I'm paying now. I have zero options for other internet providers in my area and feel Comcast should be allowed to monopolize the business and continue to provide horrible service.","After deciding to give Comcast a second chance, believing that they now had better customer service, I now know I was WRONG. First, even ordering service was a headache. I placed my order online, which went ok. Then I received a 'Welcome to Comcast' email. Less than an hour later I received another email, stating that I needed to call to set up installation and my order was not fully processed. I called and they could not set up an appointment at that time and someone would call me back within 8 hours. No call, so I called them. After 45 minutes or so, I finally got an installation date and was able to access my account online.Second, I was told my package came with DVR but did not received the DVR box. Instead I received two HD boxes. I don't have HD TVs. After spending over two hours chatting with a representative to get a DVR box, I still don't have it because the order did not go through properly and is sitting in their system in limbo (again). Third, I received my first bill and there are two additional installation charges I was never told about or authorized. I was told there was one install fee for the technician to come and install which would be for $39.95. I am also being charged for another install fee of $15 for an additional outlet."
I have never had a good experience with their customer service. Always long wait times and are never helpful at all. I would never be a customer if I had a choice but they're the only provider in my city. Worst company ever!!!,"I have had Comcast for almost a year now and it is the worst cable company. Their customer service is terrible and the employees are incompetent. We had an issue with our box for approximately 3 months and had a technician come out and replace the HD cable. That was a temporary fix while other problems had come up. We spoke to a manager to have our problem resolved and he scheduled us for a technician only to find out he never scheduled it. We discovered this after the technician never showed up. We scheduled another appointment and the reps mixed up our scheduled times so for 2 consecutive days we had no technician. Finally, we were able to get a technician to show up and he called the wrong phone number and then continued to sit outside our residence for approximately 15 minutes. To say the least, I would rather go without cable and internet than to ever have to deal with Comcast."
